Name	Type 1	Type 2	Total	HP	Attack	Defense	Sp. Atk	Sp. Def	Speed
Bayleef	Grass		405	60	62	80	63	80	60
Croconaw	Water		405	65	80	80	59	63	58
Grotle	Grass		405	75	89	85	55	65	36
Quilava	Fire		405	58	64	58	80	65	80
Pachirisu	Electric		405	60	45	70	45	90	95
Wobbuffet	Psychic		405	190	33	58	33	58	33
Gurdurr	Fighting		405	85	105	85	40	50	40
Quilladin	Grass		405	61	78	95	56	58	57
Minun	Electric		405	60	40	50	75	85	95
Prinplup	Water		405	64	66	68	81	76	50
Plusle	Electric		405	60	50	40	85	75	95
Wartortle	Water		405	59	63	80	65	80	58
Frogadier	Water		405	54	63	52	83	56	97
Dugtrio	Ground		405	35	80	50	50	70	120
Charmeleon	Fire		405	58	64	58	80	65	80
Grovyle	Grass		405	50	65	45	85	65	95
Eelektrik	Electric		405	65	85	70	75	70	40
Combusken	Fire	Fighting	405	60	85	60	85	60	55
Murkrow	Dark	Flying	405	60	85	42	85	42	91
Monferno	Fire	Fighting	405	64	78	52	78	52	81
Ivysaur	Grass	Poison	405	60	62	63	80	80	60
Haunter	Ghost	Poison	405	45	50	45	115	55	95
Marshtomp	Water	Ground	405	70	85	70	60	70	50
Braixen	Fire		409	59	59	58	90	70	73
Sealeo	Ice	Water	410	90	60	70	75	70	45
Gabite	Dragon	Ground	410	68	90	65	50	55	82
Sudowoodo	Rock		410	70	100	115	30	65	30
Ponyta	Fire		410	50	85	55	65	65	90
Fraxure	Dragon		410	66	117	70	40	50	67
Pupitar	Rock	Ground	410	70	84	70	65	70	51
Magcargo	Fire	Rock	410	50	50	120	80	80	30
Bibarel	Normal	Water	410	79	85	60	55	60	71
Medicham	Fighting	Psychic	410	60	60	75	60	75	80
Chatot	Normal	Flying	411	76	65	45	92	42	91
Vivillon	Bug	Flying	411	80	52	50	90	50	89
Dewott	Water		413	75	75	60	83	60	60
Servine	Grass		413	60	60	75	60	75	83
Raticate	Normal		413	55	81	60	50	70	97
Masquerain	Bug	Flying	414	70	60	62	80	82	60
Dunsparce	Normal		415	100	70	70	65	65	45
Furret	Normal		415	85	76	64	45	55	90
Pignite	Fire	Fighting	418	90	93	55	70	55	55
Azumarill	Water	Fairy	420	100	50	80	60	80	50
Castform	Normal		420	70	70	70	70	70	70
Shelgon	Dragon		420	65	95	100	60	50	50
Watchog	Normal		420	60	85	69	60	69	77
Linoone	Normal		420	78	70	61	50	61	100
Dragonair	Dragon		420	61	84	65	70	70	70
Mightyena	Dark		420	70	90	70	60	60	70
Metang	Steel	Psychic	420	60	75	100	55	80	50
Zweilous	Dark	Dragon	420	72	85	70	65	70	58
Diggersby	Normal	Ground	423	85	56	77	50	77	78
WormadamSandy Cloak	Bug	Ground	424	60	79	105	59	85	36
Mothim	Bug	Flying	424	70	94	50	94	50	66
WormadamPlant Cloak	Bug	Grass	424	60	59	85	79	105	36
WormadamTrash Cloak	Bug	Steel	424	60	69	95	69	95	36
Sunflora	Grass		425	75	75	55	105	85	30
Marowak	Ground		425	60	80	110	50	80	45
Chimecho	Psychic		425	65	50	70	95	80	65
Swoobat	Psychic	Flying	425	67	57	55	77	55	114
Emolga	Electric	Flying	428	55	75	60	75	60	103
Gligar	Ground	Flying	430	65	75	105	35	65	85
Swellow	Normal	Flying	430	60	85	60	50	50	125
Pelipper	Water	Flying	430	60	50	100	85	70	65
Lairon	Steel	Rock	430	60	90	140	50	50	40
Quagsire	Water	Ground	430	95	85	85	65	65	35
Qwilfish	Water	Poison	430	65	95	75	55	55	85
Sneasel	Dark	Ice	430	55	95	55	35	75	115
Dedenne	Electric	Fairy	431	67	58	57	81	67	101
Wigglytuff	Normal	Fairy	435	140	70	45	85	50	45
Misdreavus	Ghost		435	60	60	60	85	85	85
Tangela	Grass		435	65	55	115	100	40	60
Arbok	Poison		438	60	85	69	65	79	80
Solrock	Rock	Psychic	440	70	95	85	55	65	70
Rotom	Electric	Ghost	440	50	50	77	95	77	91
Kecleon	Normal		440	60	90	70	60	120	40
Persian	Normal		440	65	70	60	65	65	115
Vigoroth	Normal		440	80	80	80	55	55	90
Klang	Steel		440	60	80	95	70	85	50
Seadra	Water		440	55	65	95	95	45	85
Lunatone	Rock	Psychic	440	70	55	65	95	85	70
Noctowl	Normal	Flying	442	100	50	50	76	96	70
Fearow	Normal	Flying	442	65	90	65	61	61	100
Audino	Normal		445	103	60	86	60	86	50
Liepard	Dark		446	64	88	50	88	50	106
Doublade	Steel	Ghost	448	59	110	150	45	49	35
Piloswine	Ice	Ground	450	100	100	80	60	60	50
Venomoth	Bug	Poison	450	70	65	60	90	75	90
Cherrim	Grass		450	70	60	70	87	78	85
Chansey	Normal		450	250	5	5	35	105	50
Seaking	Water		450	80	92	65	65	80	68
Sandslash	Ground		450	75	100	110	45	55	65
Granbull	Fairy		450	90	120	75	60	60	45
Sliggoo	Dragon		452	68	75	53	83	113	60
Purugly	Normal		452	71	82	64	64	59	112
Carnivine	Grass		454	74	100	72	90	72	46
Golbat	Poison	Flying	455	75	80	70	65	75	90
Girafarig	Normal	Psychic	455	70	80	65	90	65	85
Hitmonlee	Fighting		455	50	120	53	35	110	87
Hitmonchan	Fighting		455	50	105	79	35	110	76
Banette	Ghost		455	64	115	65	83	63	65
Dusclops	Ghost		455	40	70	130	60	130	25
Hitmontop	Fighting		455	50	95	95	35	110	70
Primeape	Fighting		455	65	105	60	60	70	95
Jynx	Ice	Psychic	455	65	50	35	115	95	95
Ninjask	Bug	Flying	456	61	90	45	50	50	160
Zangoose	Normal		458	73	115	60	60	60	90
Seviper	Poison		458	73	100	60	100	60	65
Camerupt	Fire	Ground	460	70	100	70	105	75	40
Jumpluff	Grass	Flying	460	75	55	70	55	95	110
Tropius	Grass	Flying	460	99	68	83	72	87	51
Dodrio	Normal	Flying	460	60	110	70	60	60	100
Lanturn	Water	Electric	460	125	58	58	76	76	67
Sharpedo	Water	Dark	460	70	120	40	95	40	95
Breloom	Grass	Fighting	460	60	130	80	60	60	70
Lumineon	Water		460	69	69	76	69	86	91
Basculin	Water		460	70	92	65	80	55	98
Mr. Mime	Psychic	Fairy	460	40	45	65	100	120	90
Maractus	Grass		461	75	86	67	106	67	60
Aromatisse	Fairy		462	101	72	72	99	89	29
Amoonguss	Grass	Poison	464	114	85	70	85	80	30
Forretress	Bug	Steel	465	75	90	140	60	60	40
Mantine	Water	Flying	465	65	40	70	80	140	70
Throh	Fighting		465	120	100	85	30	85	45
Stantler	Normal		465	73	95	62	85	65	85
Sawk	Fighting		465	75	125	75	30	75	85
Absol	Dark		465	65	130	60	75	60	75
Magneton	Electric	Steel	465	50	60	95	120	70	70
Skarmory	Steel	Flying	465	65	80	140	40	70	70
MeowsticMale	Psychic		466	74	48	76	83	81	104
MeowsticFemale	Psychic		466	74	48	76	83	81	104
Swalot	Poison		467	100	73	83	73	83	55
Whiscash	Water	Ground	468	110	78	73	76	71	60
Crawdaunt	Water	Dark	468	63	120	85	90	55	55
Alomomola	Water		470	165	75	80	40	45	65
Torkoal	Fire		470	70	85	140	85	70	20
Grumpig	Psychic		470	80	45	65	90	110	80
Cinccino	Normal		470	75	95	60	65	60	115
Klefki	Steel	Fairy	470	57	80	91	80	87	75
Xatu	Psychic	Flying	470	65	75	70	95	70	95
Stunfisk	Ground	Electric	471	109	66	84	81	99	32
Galvantula	Bug	Electric	472	70	77	60	97	60	108
Furfrou	Normal		472	75	80	60	65	90	102
Swanna	Water	Flying	473	75	87	63	87	63	98
Vespiquen	Bug	Flying	474	70	80	102	80	102	40
Hariyama	Fighting		474	144	120	60	40	60	50
Garbodor	Poison		474	80	95	82	60	82	75
Trevenant	Ghost	Grass	474	85	110	76	65	82	56
Dewgong	Water	Ice	475	90	70	80	70	95	70
Gastrodon	Water	Ground	475	111	83	68	92	82	39
Crustle	Bug	Rock	475	70	95	125	65	75	45
Manectric	Electric		475	70	75	60	105	60	105
Kingler	Water		475	55	130	115	50	50	75
Cacturne	Grass	Dark	475	70	115	60	115	60	55
Sawsbuck	Normal	Grass	475	80	100	70	60	70	95
Skuntank	Poison	Dark	479	103	93	67	71	61	84
Pidgeot	Normal	Flying	479	83	80	75	70	70	101
SableyeMega Sableye	Dark	Ghost	480	50	85	125	85	115	20
MawileMega Mawile	Steel	Fairy	480	50	105	125	55	95	50
Froslass	Ice	Ghost	480	70	80	70	80	70	110
Shiftry	Grass	Dark	480	90	100	60	90	60	80
Lopunny	Normal		480	65	76	84	54	96	105
Phione	Water		480	80	80	80	80	80	80
DarmanitanStandard Mode	Fire		480	105	140	55	30	55	95
Slurpuff	Fairy		480	82	80	86	85	75	72
Electrode	Electric		480	60	50	70	80	80	140
Octillery	Water		480	75	105	75	105	75	45
Glalie	Ice		480	80	80	80	80	80	80
Lilligant	Grass		480	70	60	75	110	75	90
Jellicent	Water	Ghost	480	100	60	70	85	105	60
Whimsicott	Grass	Fairy	480	60	67	85	77	75	116
Ludicolo	Water	Grass	480	80	70	70	90	100	70
Heliolisk	Electric	Normal	481	62	55	52	109	94	109
Malamar	Dark	Psychic	482	86	92	88	68	75	73
Ambipom	Normal		482	75	100	66	60	66	115
Golurk	Ground	Ghost	483	89	124	80	55	80	55
Hypno	Psychic		483	85	73	70	73	115	67
Clefable	Fairy		483	95	70	73	95	90	60
Cofagrigus	Ghost		483	58	50	145	95	105	30
Durant	Bug	Steel	484	58	109	112	48	48	109
Heatmor	Fire		484	85	97	66	105	66	65
Spiritomb	Ghost	Dark	485	50	92	108	92	108	35
Rhydon	Ground	Rock	485	105	130	120	45	45	40
Relicanth	Water	Rock	485	100	90	130	45	65	55
Huntail	Water		485	55	104	105	94	75	52
Beartic	Ice		485	95	110	80	70	80	50
Beheeyem	Psychic		485	75	75	75	125	95	40
Raichu	Electric		485	60	90	55	90	80	110
Cryogonal	Ice		485	70	50	30	95	135	105
Druddigon	Dragon		485	77	120	90	60	90	48
Gorebyss	Water		485	55	84	105	114	75	52
Scolipede	Bug	Poison	485	60	100	89	55	69	112
Staraptor	Normal	Flying	485	85	120	70	50	60	100
Musharna	Psychic		487	116	55	85	107	95	29
Unfezant	Normal	Flying	488	80	115	80	65	55	93
Scrafty	Dark	Fighting	488	65	90	115	45	115	58
Ferrothorn	Grass	Steel	489	74	94	131	54	116	20
Altaria	Dragon	Flying	490	75	70	90	70	105	80
Victreebel	Grass	Poison	490	80	105	65	100	70	70
Toxicroak	Poison	Fighting	490	83	106	65	86	65	85
Sigilyph	Psychic	Flying	490	72	58	80	103	80	97
Slowbro	Water	Psychic	490	95	75	110	100	80	30
Slowking	Water	Psychic	490	95	75	80	100	110	30
Tauros	Normal		490	75	100	95	40	70	110
Gothitelle	Psychic		490	70	55	95	95	110	65
Bouffalant	Normal		490	95	110	95	40	95	55
Miltank	Normal		490	95	80	105	40	70	100
Weezing	Poison		490	65	90	120	85	70	60
Electabuzz	Electric		490	65	83	57	95	85	105
Kangaskhan	Normal		490	105	95	80	40	80	90
Reuniclus	Psychic		490	110	65	75	125	85	30
Bellossom	Grass		490	75	80	95	90	100	50
Exploud	Normal		490	104	91	63	91	73	68
Bisharp	Dark	Steel	490	65	125	100	60	70	70
Vileplume	Grass	Poison	490	75	80	85	110	90	50
GourgeistSmall Size	Ghost	Grass	494	55	85	122	58	75	99
GourgeistSuper Size	Ghost	Grass	494	85	100	122	58	75	54
Dragalge	Poison	Dragon	494	65	75	90	97	123	44
GourgeistAverage Size	Ghost	Grass	494	65	90	122	58	75	84
GourgeistLarge Size	Ghost	Grass	494	75	95	122	58	75	69
Abomasnow	Grass	Ice	494	90	92	75	92	85	60
BeedrillMega Beedrill	Bug	Poison	495	65	150	40	15	80	145
Omastar	Rock	Water	495	70	60	125	115	70	55
Escavalier	Bug	Steel	495	70	135	105	60	105	20
Carracosta	Water	Rock	495	74	108	133	83	65	32
Cradily	Rock	Grass	495	86	81	97	81	107	43
Bastiodon	Rock	Steel	495	60	52	168	47	138	30
